,id,release_date,vote_average,vote_count,revenue,runtime
4707,557968,2018/12/06,5.3,92,0,102
4708,10587,1987/04/02,5.5,842,76800000,88
4709,59,2005/09/23,7.2,2338,60740827,96
4710,11620,1951/11/08,7.1,268,21037000,171
4711,513223,2018/04/19,6.3,206,0,103
4712,278698,2010/06/22,8.8,10,0,32
4713,318850,2016/03/10,6.3,93,6490401,120
4714,551298,2018/09/28,7.8,63,0,10
4715,9760,2007/01/25,3.9,1141,86865564,86
4716,2069,2000/02/18,6.5,1369,106371651,98
4717,77883,2012/08/30,6,1261,85446075,92
4718,49517,2011/09/16,6.6,1985,80630608,127
4719,403300,2019/12/11,7.1,448,4612788,174
4720,467248,2017/08/29,6,179,0,95
4721,14254,2009/01/30,6.5,1152,41624046,87
4722,7516,2006/12/09,6.5,1236,57103895,109
4723,587693,2019/12/05,6.4,402,0,84
4724,263341,2016/02/18,6,485,0,103
4725,548,1950/08/26,8.2,1485,96568,88
4726,63492,2011/09/30,6.5,1859,30426096,106
4727,18781,2009/03/27,6.2,854,77527732,102
4728,369560,2019/02/08,4.7,188,0,97
4729,818367,2021/05/28,7.3,8,0,15
4730,425148,2018/05/18,5.8,168,38830219,92
4731,9529,1992/10/16,6.5,1072,25792310,100
4732,10735,2003/03/27,6.2,1330,50732139,105
4733,29427,2010/02/26,6.2,1501,54956140,101
4734,284995,2014/08/19,7.6,124,0,74
4735,8834,1997/08/08,6.6,1067,136982834,135
4736,2252,2007/09/14,7.4,2420,56106607,100
4737,301608,2016/04/29,5,354,0,93
4738,2114,2001/07/02,6.2,1128,85131830,106
4739,438747,2017/03/10,6.7,302,0,55
4740,11452,2002/03/29,6,1437,20000000,92
4741,519010,2019/03/22,7.5,1359,37359689,114
4742,4512,2007/09/07,7,1877,14711793,160
4743,354859,2016/12/02,7,316,0,133
4744,612,2005/12/23,7.1,1920,130358911,164
4745,11449,1979/07/26,6.3,602,86432000,117
4746,11081,2004/03/19,6.4,1167,65470529,103
4747,2787,2000/02/18,6.8,3493,53187659,108
4748,786,2000/09/15,7.5,2024,47386287,122
4749,624481,2021/06/18,6.1,17,0,93
4750,796115,2015/06/08,6.9,15,0,88
4751,747305,2010/02/01,2,1,0,87
4752,192,1986/09/24,7.4,2273,77200000,130
4753,53985,2009/04/01,5.8,212,0,27
4754,44603,2010/10/22,6,1270,106956330,129
4755,71689,2011/08/05,6.8,395,0,78
4756,14536,2009/01/30,5.8,344,29010817,97
4757,754433,2020/12/08,6.1,15,0,82
4758,276905,2016/01/14,4.7,274,17062499,86
4759,15138,1989/08/25,5.8,157,793775,102
4760,26528,2008/12/01,7.5,15,0,110
4761,12700,2005/05/20,5.3,227,251495,117
4762,7299,2002/12/06,7,3469,5359645,107
4763,12101,1973/04/18,6.9,832,3600000,97
4764,644479,2019/11/01,8.5,427,0,94
4765,9276,1998/12/25,6.5,1403,40283321,104
4766,8007,2001/11/30,6.3,1084,91753202,106
4767,681022,2020/04/15,6.7,23,0,83
4768,41515,2010/12/17,5.7,672,203509374,80
4769,9473,1999/06/30,7.2,2017,83137603,81
4770,41308,1964/09/03,8,109,0,130
4771,234004,2016/04/13,5.8,498,8821329,94
4772,366668,2019/06/10,5.7,194,0,99
4773,26505,2009/11/26,5.7,1387,0,93
4774,368940,2016/02/04,5.8,250,40075446,90
4775,44564,2011/01/13,5.3,669,67112664,111
4776,6279,1993/12/09,6.4,1359,57319029,107
4777,530581,2015/05/22,5.1,11,0,110
4778,594634,2019/10/10,8,358,0,117
4779,785522,2021/06/11,7.6,93,0,107
4780,631346,2018/02/02,8,1,0,70
4781,6623,1997/09/26,6,704,110463140,124
4782,4553,2004/02/09,7.5,4021,8203235,101
4783,889,2000/04/28,4.8,555,59468275,90
4784,5994,2000/12/12,6.7,1419,124700000,125
4785,438808,2018/09/14,6.3,742,26000000,111
4786,68727,2013/03/27,6.6,1765,24261569,101
4787,77495,2011/10/14,7.1,759,0,97
4788,408648,2017/08/14,6.2,454,0,74
4789,194290,1951/09/04,4.4,5,0,84
4790,251768,2014/01/21,6.7,149,0,52
4791,366654,2015/12/30,6.7,15,0,122
4792,668,1969/12/12,6.6,1301,81974493,142
4793,13313,1997/11/11,6.2,785,0,72
4794,373675,1977/12/20,2,1,0,0
4795,34583,2010/01/28,5.9,199,0,93
4796,582,2006/03/15,8.1,2691,70000000,137
4797,358344,2015/06/25,6.2,3,0,90
4798,157849,2014/07/25,,1058,31554855,121
4799,46261,2010/11/06,5.7,830,36993168,99
4800,485415,2017/12/29,4.4,421,0,90
4801,329833,2016/02/06,4.8,1784,55969000,100
4802,432057,2017/07/22,6.5,3,1488577,111
4803,357940,2015/09/16,6.9,92,0,134
4804,4995,1997/10/07,7.6,2300,43101594,156
4805,560192,2019/12/06,5.9,194,0,97
4806,532327,2019/04/16,6.7,72,0,89
4807,478820,2018/12/19,6.4,390,0,121
4808,14191,2006/03/03,6.3,1203,23006849,104
4809,321741,2015/11/12,7.1,2070,50363790,123
4810,284427,2014/09/25,7.7,1121,7700259,105
4811,763109,2021/11/11,0,0,0,100
4812,855400,2021/11/02,7.7,11,0,164
4813,320,2002/05/24,6.9,3521,113714830,118
4814,455551,2017/06/02,4.5,281,1319566,91
4815,362703,2016/01/08,4.8,134,0,83
4816,347688,2015/07/10,8.1,191,0,79
4817,2655,2000/07/21,6.4,1366,291420351,130
4818,663870,2020/11/19,7.3,226,679505,116
4819,12903,2008/01/01,7.8,175,0,75
4820,399173,2016/04/27,5.4,372,388789,95
4821,659384,2021/11/11,0,0,0,77
4822,317952,2015/07/03,7.3,292,0,100
4823,11683,2005/06/24,6.2,1134,46770602,93
4824,360404,2015/10/19,7.6,114,0,72
4825,400710,2017/09/28,5.7,1917,45158254,111
4826,2119,1990/06/27,6.3,1032,157920733,107
4827,342126,2015/04/04,6.2,5,0,52
4828,803923,2021/04/02,6,97,0,105
4829,9606,2001/05/26,7,310,4035192,108
4830,2133,2000/06/29,6.4,1654,325756637,130
4831,437109,2017/06/08,6.9,479,8737458,129
4832,8975,2006/10/13,6,546,22165608,92
4833,2832,2003/04/25,7.2,2811,90259536,90
4834,30061,2010/02/23,7.4,493,0,75
4835,529414,2018/06/08,9.2,88,0,66
4836,8859,2000/12/15,5.5,1378,73180723,83
4837,419700,2017/04/14,5.5,394,0,130
4838,345923,2017/08/10,5.1,476,646946,110
4839,101907,2009/01/27,6.7,164,0,41
4840,225145,2013/08/24,4.9,10,0,113
4841,8836,2008/07/24,5.7,1118,68369434,104
4842,407887,2016/07/27,5.9,144,49196532,111
4843,270010,2016/04/22,5.8,894,4212494,97
4844,2539,2004/12/17,6,1007,55041367,130
4845,553141,2019/04/05,5.3,208,44652,72
4846,3175,1975/11/26,8,2019,198992,185
4847,62838,2011/12/08,5.9,1768,142044638,118
4848,610892,2019/09/06,8.4,206,10841702,91
4849,319075,2015/03/23,7.7,577,0,132
4850,116,2005/10/26,7.3,3212,85306374,124
4851,660006,2021/04/02,5.8,145,0,112
4852,13600,2008/10/07,6.3,1381,17869048,90
4853,449503,2017/06/06,5.5,67,0,96
4854,1592,1996/03/06,7.7,2315,102616183,129
4855,459202,2017/10/20,5.7,426,48333932,103
4856,773,2006/07/26,7.7,5332,100523181,102
4857,355506,2016/12/02,6,187,0,82
4858,1089,1991/01/31,7.1,2586,83531958,122
4859,446696,2018/09/21,7.3,375,7997774,118
4860,11806,1992/04/03,5.8,1579,147214049,87
4861,169219,2013/02/27,5.8,457,5217347,100
4862,592,1974/04/07,7.6,1167,4420000,113
4863,88042,2012/12/25,5.9,384,119772232,104
4864,437620,2017/04/15,7.9,50,0,120
4865,399248,2018/04/11,6.3,412,7258534,110
4866,268238,2015/02/26,6.4,561,85978266,122
4867,10304,2004/04/20,4.2,401,0,88
4868,553,2003/05/19,7.8,1831,16680836,178
4869,9618,1989/12/22,6.4,1397,63408614,104
4870,229756,2013/03/09,6.1,30,0,66
4871,921,2005/06/02,7.5,1658,108539911,144
4872,423988,2017/06/01,4.8,180,0,91
4873,310593,2015/05/20,6.9,1599,2000000,118
4874,11319,1977/06/22,6.8,1946,71215869,78
4875,9531,1983/06/17,5.5,1271,75850624,125
4876,39145,1987/07/18,6.5,170,0,45
4877,21385,2004/08/04,6.6,689,0,68
4878,97367,2013/03/14,6.9,3901,35485608,140
4879,1523,2006/01/12,7.5,1552,48027970,123
4880,209964,2013/07/27,5.6,31,0,88
4881,878613,2021/11/06,2,1,0,88
4882,11546,1994/06/09,4.5,600,126247,83
4883,554581,2018/11/16,7.6,90,0,92
4884,82525,2012/07/06,6.3,1765,82966152,131
4885,2288,2004/12/01,6.8,2538,115505027,104
4886,179923,2011/06/17,6.5,8,0,48
4887,201,2002/12/13,6.2,1043,67312826,117
4888,627725,2020/03/06,7.5,496,0,120
4889,776552,2021/09/03,7.5,10,0,90
4890,2112,1999/02/05,6.8,1330,161626121,100
4891,152742,2013/01/01,7.9,2298,19255873,124
4892,289712,2014/10/07,4.7,113,0,81
4893,314365,2015/11/06,7.8,6821,98690254,129
4894,456403,2016/09/29,4.8,4,0,135
4895,15898,2008/01/01,6,42,0,78
4896,447163,2017/07/22,7.3,8,0,119
4897,520360,2018/09/04,5.4,305,0,108
4898,851859,2014/08/19,0,0,0,12
4899,48650,2010/05/07,6.4,455,844281,109
4900,23742,2010/02/26,5.6,1173,55583804,107
4901,79698,2015/02/13,4.7,59,0,109
4902,220289,2013/09/19,7.3,1997,102617,89
4903,11937,1989/07/01,6.9,336,0,98
4904,606679,2020/06/10,7.1,303,0,113
4905,76203,2013/10/18,7.9,9259,187000000,134
4906,16258,2009/01/09,5.4,420,0,90
4907,213681,2016/09/29,5.7,1439,29200000,94
4908,433247,2017/02/18,7.4,505,0,136
4909,521647,2018/05/01,6.3,148,0,97
4910,10552,1985/04/12,6.7,435,13100000,94
4911,818192,2021/11/05,3.5,2,0,111
4912,94348,2012/10/18,5.2,579,30353232,101
4913,9944,1993/09/17,6.5,1098,195268056,141
4914,49012,2011/04/08,5.6,582,45735397,110
4915,468224,2019/05/03,7,998,8654322,112
4916,38579,2010/06/04,5.3,578,83761844,87
4917,505642,2022/11/09,0,0,0,0
4918,37094,1993/02/26,7.3,2714,40903593,113
4919,336050,2015/06/11,7.2,796,1777043,107
4920,11879,1987/10/02,6.9,462,0,95
4921,617786,2020/04/03,6,107,0,97
4922,472715,2018/09/06,5.8,96,0,101
4923,9463,1985/12/21,6.6,303,0,80
4924,848724,1972/03/08,0,0,0,48
4925,429197,2018/12/25,7.1,2582,76073488,132
4926,266396,2015/02/16,5.7,767,13644292,115
4927,517764,2019/04/19,5.1,148,0,80
4928,81946,2003/11/02,6,24,0,63
4929,766,1992/10/31,7.3,2221,21502976,81
4930,9012,2002/10/25,6.2,1068,64282312,87
4931,9894,1996/06/10,5.9,1770,102825796,96
4932,631058,2021/03/05,6.1,42,0,89
4933,5549,1990/06/22,6,1317,45681173,117
4934,1480,1958/03/30,7.8,1043,2247500,111
4935,496,2006/11/01,6.7,4155,262552893,84
4936,497814,2018/05/05,6,525,49078000,88
4937,394723,2016/05/19,6.4,118,0,100
4938,7303,2002/12/13,6,1515,154906693,105
4939,188207,2014/01/10,4.7,1083,61279452,99
4940,239529,2013/12/07,6.8,115,0,106
4941,9969,2006/11/22,5.4,426,47231070,93
4942,10110,1987/12/09,7.5,1375,66700000,153
4943,365045,2015/12/10,7.1,292,0,111
4944,485942,2018/03/24,5.8,715,0,85
4945,15400,1999/10/31,7.1,479,0,66
4946,10479,2000/04/07,6.2,502,71000000,128
4947,674025,2020/11/20,5.5,35,0,90
4948,47292,2008/07/19,6.7,172,43300000,96
4949,30131,1951/02/05,8.1,60,0,108
4950,742391,2021/06/16,6.7,68,0,113
4951,475220,2018/12/06,5.7,170,0,118
4952,437103,2017/12/27,8,87,49380115,129
4953,433502,2019/03/01,6.4,486,0,108
4954,2289,2003/12/24,6.9,1358,173013509,154
4955,10539,1996/04/12,6.5,1002,28946127,79
4956,11013,2002/09/20,6.8,1142,9304609,104
4957,111190,2013/04/03,6.1,775,1575749,100
4958,552269,2021/07/23,6.2,33,0,93
4959,10622,1997/01/31,6.5,476,18814720,101
4960,9912,2005/10/12,7.6,488,0,127
4961,426865,2018/09/04,7,315,0,88
4962,344041,2016/01/04,6,244,0,80
4963,9907,2006/08/04,5.8,797,116476887,90
4964,521034,2020/07/08,6.4,426,889816,99
4965,10727,2003/01/24,5.5,424,0,86
4966,134597,2012/09/21,6.2,741,6842058,82
4967,11678,2000/12/08,6,773,215663859,124
4968,413198,2016/08/12,6.4,60,0,120
4969,46146,2010/10/29,6.7,1192,4159678,103
4970,688,1995/05/28,7.7,1534,182016617,135
4971,376865,2018/09/26,5.8,770,2133033,113
4972,198901,2012/06/01,6.9,18,0,70
4973,3512,1995/07/13,5.7,608,104324083,100
4974,8321,2008/02/08,7.5,3759,34533783,108
4975,83389,2011/07/16,7.6,1207,61037844,91
4976,2026,2005/03/10,6.3,1261,77944725,113
4977,11026,2004/08/20,5.3,547,78000586,114
4978,105877,2007/10/02,6.7,23,0,90
4979,377263,2016/09/07,7.4,545,7478354,113
4980,76494,2012/05/17,6,1537,79700000,110
4981,502682,2018/05/18,6.3,619,78720293,104
4982,227300,2014/10/14,6.2,501,0,94
4983,714375,2020/07/16,5.8,228,0,89
4984,11976,1985/08/28,6.3,860,15502112,94
4985,12914,2008/07/29,7.1,352,0,98
4986,10423,1993/05/07,6.9,497,63513743,120
4987,30128,2009/09/25,5,56,1429299,106
4988,537739,2019/09/13,6.6,653,0,94
4989,901,1931/02/01,8.4,1507,4250000,87
4990,802,1962/06/21,7.4,1468,9250000,154
4991,147773,2013/06/06,7.1,1369,23198652,103
4992,890625,1988/04/02,0,0,0,59
4993,720755,2020/10/16,6.6,168,0,99
4994,401545,2018/05/09,6.5,738,17997350,132
4995,228973,2014/03/20,5.8,440,0,92
4996,405965,2018/11/29,6.3,96,0,90
4997,448095,2018/09/27,6.7,481,0,98
4998,146238,2013/09/24,5.7,996,62616646,91
4999,9354,1989/06/23,6.3,2308,222724172,93
5000,122081,2013/01/24,5.2,3296,31724284,94
5001,12149,2001/11/17,7,845,17423030,100
5002,9322,1990/02/21,7.2,1423,5000000,117
5003,4478,1993/04/07,6.3,1030,266614059,117
5004,138376,2012/11/29,5.6,81,5750,106
5005,14158,2007/12/18,6.1,356,0,64
5006,10648,1973/12/23,7.2,720,39768000,124
5007,37233,1993/06/30,6.8,1444,270248367,155
5008,11007,2003/12/24,6.3,2247,190212113,98
5009,442133,2016/01/19,5.8,67,0,0
5010,329824,2015/03/23,9.5,2,0,90
5011,6951,1989/07/28,6.4,957,71079915,100
5012,548066,2018/02/20,6.8,404,0,102
5013,709,1989/07/07,6.3,1377,156167015,133
5014,759297,2021/09/10,5.2,5,0,114
5015,326425,2015/12/18,4.6,292,16775,83
5016,804013,2021/03/20,6.5,4,0,96
5017,418078,2017/06/09,5.8,1830,19280931,91
5018,409122,2016/08/09,7.6,124,0,72
5019,21755,2008/09/09,6.7,457,5530764,114
5020,3114,1956/05/07,7.8,965,0,119
5021,9092,1997/07/18,5.9,185,0,100
5022,34806,2010/04/23,6.1,1169,77477008,106
5023,10072,1987/02/27,6.7,1215,44793222,96
5024,413471,2016/10/07,5.5,289,0,90
5025,501851,2018/05/05,5.5,74,0,95
5026,903,1967/06/22,7.8,1003,16217773,127
5027,40713,2007/11/03,7.8,123,44038000,129
5028,257874,2013/10/08,5.4,116,0,89
5029,50022,2018/04/19,5.8,321,18850674,100
5030,14324,2007/12/17,4.4,218,5410749,93
5031,10906,1992/08/28,5.2,360,17092453,100
5032,395841,2018/09/22,5.3,723,0,126
5033,658,1964/09/20,7.3,2648,124881062,110
5034,508720,2018/03/02,7.5,4,0,67
5035,9035,2006/03/31,6.5,1067,12834936,95
5036,244688,2014/02/01,4.2,377,0,86
5037,270487,2016/02/05,5.9,3169,63647656,106
5038,41210,2010/05/11,6.2,1470,49830607,101
5039,539181,2020/07/03,6,444,2902552,89
5040,427342,2016/11/24,6.9,113,0,105
5041,8095,1963/06/12,7,478,71000000,248
5042,369552,2016/09/29,6.8,79,0,113
5043,398177,2017/12/01,4.8,171,6069605,91
5044,360029,2016/09/07,7,137,0,107
5045,10529,2008/04/24,6.3,920,7033683,115
5046,448341,2008/09/30,7.6,44,0,109
5047,10911,1961/04/27,7.4,532,28900000,158
5048,630766,2020/02/06,5.6,60,0,100
5049,11252,1998/12/04,5.1,737,37141130,105
5050,1551,1990/08/10,6.5,1129,61489265,115
5051,479,2000/06/15,6,931,107196498,99
5052,114478,2012/07/21,5.9,283,0,89
5053,151535,2012/12/15,7.7,97,0,78
5054,27,2004/05/16,5.6,346,1574623,70
5055,512263,2019/11/08,7.2,428,3400977,94
5056,14317,2002/12/20,6.4,195,0,85
5057,167073,2015/10/20,7.3,2614,62076141,111
5058,33408,1993/04/02,6.3,328,13609396,89
5059,38939,1972/03/09,6.9,184,0,92
5060,57212,2011/12/25,7.3,2699,177584879,146
5061,17809,1994/12/22,7.5,358,1907743,103
5062,398175,2017/09/23,7,983,0,132
5063,340487,2016/09/25,6,239,1215691,107
5064,606,1985/12/20,7.2,1012,128499205,161
5065,155711,2010/01/01,5.5,23,0,0
5066,11814,1985/08/01,6.5,1018,38934048,94
5067,861773,2021/11/10,0,0,0,0
5068,12819,2010/09/17,5.9,386,50500000,88
5069,472674,2019/09/12,7.3,604,0,149
5070,136735,2012/11/11,6.9,60,0,106
5071,2294,2001/08/22,6.4,1150,33788161,104
5072,332283,2017/08/06,7,814,0,120
5073,467956,2019/05/10,6.8,779,3600000,90
5074,351809,2016/03/03,6.2,306,9074836,96
5075,433251,2017/08/11,5.8,1037,0,96
5076,14347,1984/02/17,5.8,115,18644570,100
5077,854179,2021/11/11,0,0,0,90
5078,474335,2018/06/27,6.7,403,17665000,103
5079,593035,2019/04/05,4.2,105,0,88
5080,381693,2012/01/31,6.9,144,0,23
5081,590,2002/12/27,7.3,1276,41597830,114
5082,11329,2003/01/16,6.9,914,80154140,127
5083,746,1987/05/27,7.6,1170,43984230,163
5084,10220,1998/09/11,7,1280,22921898,121
5085,506596,2018/04/12,6.3,65,6110461,83
5086,12163,2008/09/07,7.5,2756,44703995,109
5087,821586,2018/06/07,2,1,0,94
5088,502167,2018/03/10,4.8,37,0,86
5089,438857,2017/02/10,7.3,101,0,98
5090,401513,2017/01/26,6.6,576,19454845,117
5091,65215,2005/07/23,6.9,279,0,88
5092,560066,2019/02/05,7.9,187,0,82
5093,9642,2006/04/05,6.1,529,22501596,78
5094,10025,2006/02/28,6.1,1530,38159905,103
5095,33613,2009/11/27,7.1,1047,43498108,147
5096,10336,1997/07/31,5.3,971,87840042,96
5097,50725,2011/03/04,6,517,6928068,97
5098,507505,2018/08/09,7.5,430,10452324,115
5099,502033,2020/11/20,7.8,1559,516520,121
5100,255343,2014/10/11,6.3,643,3758328,120
5101,114606,2012/08/31,5.7,299,0,88
5102,9614,1996/02/16,6.6,1946,41205099,92
5103,491584,2018/05/17,7.4,1031,6591038,148
5104,9562,2003/11/26,5.7,802,43935763,116
