Unnamed: 0,id,release_date,vote_average,vote_count,revenue,runtime,original_language,original_title,popularity
118,634528,2021/01/15,7.1,950.0,22039969.0,108.0,en,The Marksman,287.586
119,763164,2021/11/12,5.3,50.0,0.0,108.0,en,Apex,401.393
120,464052,2020/12/16,6.6,6105.0,165160005.0,151.0,en,Wonder Woman 1984,267.785
121,573164,2021/08/12,8.1,256.0,0.0,0.0,es,Un rescate de huevitos,268.087
122,520763,2021/05/21,7.7,3294.0,297372261.0,97.0,en,A Quiet Place Part II,252.028
123,619778,2021/09/01,7.1,979.0,24640084.0,112.0,en,Malignant,233.546
124,529106,2021/04/01,6.8,342.0,4493306.0,136.0,ru,Майор Гром: Чумной Доктор,248.521
125,729720,2021/07/30,6.8,431.0,0.0,110.0,fr,Le Dernier Mercenaire,265.12
126,883648,2021/10/22,4.9,13.0,0.0,94.0,en,Little Big Mouth,239.444
127,739990,2021/09/15,6.6,183.0,0.0,103.0,en,Nightbooks,227.322
128,857702,2021/10/01,6.6,85.0,0.0,45.0,en,LEGO Star Wars Terrifying Tales,242.303
129,671,2001/11/16,7.9,21302.0,976475550.0,152.0,en,Harry Potter and the Philosopher's Stone,234.446
130,315635,2017/07/05,7.4,17065.0,880166924.0,133.0,en,Spider-Man: Homecoming,266.445
131,385687,2023/04/06,0.0,0.0,0.0,0.0,en,Fast & Furious 10,211.849
132,880009,2021/10/01,3.3,5.0,0.0,0.0,es,Catalina la Catrina: especial Día de Muertos,260.402
133,826914,2021/10/08,6.9,86.0,0.0,52.0,en,Muppets Haunted Mansion,206.82
134,617502,2021/07/15,6.8,753.0,0.0,91.0,en,Jolt,243.844
135,429617,2019/06/28,7.5,10893.0,1131927996.0,129.0,en,Spider-Man: Far From Home,273.535
136,800497,2021/06/25,6.1,179.0,250811.0,97.0,en,Werewolves Within,225.012
137,537915,2019/04/11,7.2,6704.0,69497587.0,106.0,en,After,239.301
138,347201,2015/08/07,7.7,917.0,40200000.0,95.0,ja,BORUTO -NARUTO THE MOVIE-,229.477
139,587807,2021/02/11,7.1,1831.0,132000000.0,101.0,en,Tom & Jerry,232.966
140,559,2007/05/01,6.3,10473.0,890871626.0,139.0,en,Spider-Man 3,236.031
141,585083,2022/01/14,0.0,0.0,0.0,0.0,en,Hotel Transylvania: Transformania,190.917
142,508442,2020/12/25,8.2,7165.0,136384442.0,101.0,en,Soul,229.134
143,317442,2014/12/06,7.9,1069.0,16500000.0,114.0,ja,The Last: Naruto the Movie,244.198
144,567189,2021/04/29,7.2,1641.0,0.0,109.0,en,Tom Clancy's Without Remorse,223.53
145,449406,2021/07/30,7.7,415.0,0.0,99.0,en,Vivo,208.114
146,719088,2020/12/11,6.4,11.0,0.0,53.0,ja,イエスかノーか半分か,234.805
147,522241,2021/03/18,7.2,456.0,24901420.0,112.0,en,The Courier,224.855
148,637693,2021/05/20,7.8,288.0,17635215.0,88.0,en,Spirit Untamed,
149,850818,2021/08/20,7.2,73.0,0.0,62.0,en,"Barbie: Big City, Big Dreams",216.59
150,882812,2021/10/09,7.4,17.0,0.0,0.0,es,No me echen ese muerto,173.395
151,581644,2021/06/10,5.6,163.0,0.0,94.0,en,The Misfits,239.557
152,841755,2021/08/30,8.1,177.0,0.0,80.0,en,Mortal Kombat Legends: Battle of the Realms,200.515
153,15092,2009/04/16,6.0,2115.0,34560577.0,96.0,en,Crank: High Voltage,219.241
154,522478,2021/03/25,7.4,426.0,153000000.0,93.0,en,Peter Rabbit 2: The Runaway,211.56
155,586047,2021/04/12,7.5,90.0,0.0,114.0,ko,서복,212.792
156,400160,2020/08/14,7.7,2343.0,4700000.0,95.0,en,The SpongeBob Movie: Sponge on the Run,200.485
157,559907,2021/07/29,6.7,498.0,18192220.0,130.0,en,The Green Knight,197.458
158,597433,2021/08/04,6.4,383.0,0.0,109.0,en,Beckett,203.703
